    INT     ,    FLOAT     ,    FLOAT     ,     FLOAT     ,      FLOAT      ,              FLOAT              ,     FLOAT     ,    FLOAT     ,        FLOAT         ,              FLOAT              ,     FLOAT     ,    FLOAT     ,        FLOAT         ,    FLOAT     ,    FLOAT     ,      FLOAT       ,      FLOAT       ,     FLOAT     ,     FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,      FLOAT       ,      FLOAT       , BOOL  , BOOL ,     BOOL      ,        INT        ,     INT      ,        INT        ,     INT      , INT  
     -      ,     Msol     ,     Msol     ,      AU       ,        -        ,                -                ,       -       ,      -       ,          -           ,                -                ,       -       ,      -       ,          -           ,    yr^-1     ,    yr^-1     ,      kms^-1      ,      kms^-1      ,    kms^-1     ,    kms^-1     ,      -       ,      -       ,      -       ,        -         ,        -         , State ,Event ,     Event     ,         -         ,      -       ,         -         ,      -       ,  -   
    SEED    , Mass@ZAMS_1  , Mass@ZAMS_2  ,Separation@ZAMS,Eccentricity@ZAMS,SN_Kick_Magnitude_Random_Number_1,SN_Kick_Theta_1,SN_Kick_Phi_1 ,SN_Kick_Mean_Anomaly_1,SN_Kick_Magnitude_Random_Number_2,SN_Kick_Theta_2,SN_Kick_Phi_2 ,SN_Kick_Mean_Anomaly_2, Omega@ZAMS_1 , Omega@ZAMS_2 ,Sigma_Kick_CCSN_NS,Sigma_Kick_CCSN_BH,Sigma_Kick_ECSN,Sigma_Kick_USSN,LBV_Multiplier,WR_Multiplier ,   CE_Alpha   ,Metallicity@ZAMS_1,Metallicity@ZAMS_2,Unbound,Merger,Merger_At_Birth,Stellar_Type@ZAMS_1,Stellar_Type_1,Stellar_Type@ZAMS_2,Stellar_Type_2,Error 
          57,  1.000000e+00,  3.000000e+00,   2.235623e-01,     0.000000e+00,                     5.543657e-01,   5.543656e-01,  9.946114e-01,          5.543657e-01,                     9.946114e-01,   5.543656e-01,  9.946114e-01,          5.543657e-01,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  0.000000e+00, -3.608549e+02,  1.100000e+00,      2.000000e-02,      2.000000e-02,0,1,0,                  1,            15,                  1,            10,     0
          58,  1.000000e+00,  3.000000e+00,   2.886837e+00,     0.000000e+00,                     5.543657e-01,   9.946113e-01,  5.543657e-01,          9.946114e-01,                     9.946114e-01,   9.946113e-01,  5.543657e-01,          9.946114e-01,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  0.000000e+00, -3.608549e+02,  1.200000e+00,      2.000000e-02,      2.000000e-02,0,1,0,                  1,            15,                  1,            11,     0
          59,  1.000000e+00,  3.000000e+00,   4.967529e+02,     0.000000e+00,                     5.543657e-01,   9.946113e-01,  9.946114e-01,          9.946114e-01,                     9.946114e-01,   9.946113e-01,  9.946114e-01,          9.946114e-01,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  0.000000e+00, -3.608549e+02,  1.000000e+00,      2.000000e-02,      2.000000e-02,0,0,0,                  1,             1,                  1,            15,     0
          60,  1.000000e+00,  3.000000e+00,   1.597693e+00,     0.000000e+00,                     5.543657e-01,   5.543656e-01,  9.946114e-01,          5.543657e-01,                     9.946114e-01,   5.543656e-01,  9.946114e-01,          5.543657e-01,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  0.000000e+00, -3.608549e+02,  1.100000e+00,      2.000000e-02,      2.000000e-02,0,1,0,                  1,            15,                  1,             8,     0
          61,  1.000000e+00,  3.000000e+00,   1.985537e+02,     0.000000e+00,                     5.543657e-01,   9.946113e-01,  5.543657e-01,          9.946114e-01,                     9.946114e-01,   9.946113e-01,  5.543657e-01,          9.946114e-01,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  0.000000e+00, -3.608549e+02,  1.200000e+00,      2.000000e-02,      2.000000e-02,0,0,0,                  1,             1,                  1,            15,     0
          62,  1.000000e+00,  3.000000e+00,   1.364642e-01,     0.000000e+00,                     5.543657e-01,   9.946113e-01,  9.946114e-01,          5.543657e-01,                     9.946114e-01,   9.946113e-01,  9.946114e-01,          5.543657e-01,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  0.000000e+00, -3.608549e+02,  1.000000e+00,      2.000000e-02,      2.000000e-02,0,0,0,                  1,            10,                  1,            11,     0
          63,  1.000000e+00,  3.000000e+00,   1.643479e+01,     0.000000e+00,                     5.543657e-01,   5.543656e-01,  5.543657e-01,          9.946114e-01,                     9.946114e-01,   5.543656e-01,  5.543657e-01,          9.946114e-01,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  0.000000e+00, -3.608549e+02,  1.100000e+00,      2.000000e-02,      2.000000e-02,0,1,0,                  1,            15,                  1,            11,     0
          64,  1.000000e+00,  3.000000e+00,   3.283931e+00,     0.000000e+00,                     5.543657e-01,   9.946113e-01,  9.946114e-01,          9.946114e-01,                     9.946114e-01,   9.946113e-01,  9.946114e-01,          9.946114e-01,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  0.000000e+00, -3.608549e+02,  1.200000e+00,      2.000000e-02,      2.000000e-02,0,1,0,                  1,            15,                  1,            11,     0
          65,  1.000000e+00,  3.000000e+00,   7.491697e-01,     0.000000e+00,                     5.543657e-01,   5.543656e-01,  9.946114e-01,          9.946114e-01,                     9.946114e-01,   5.543656e-01,  9.946114e-01,          9.946114e-01,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  0.000000e+00, -3.608549e+02,  1.000000e+00,      2.000000e-02,      2.000000e-02,0,1,0,                  1,            15,                  1,             8,     0
          66,  1.000000e+00,  3.000000e+00,   4.141430e-01,     0.000000e+00,                     5.543657e-01,   9.946113e-01,  9.946114e-01,          9.946114e-01,                     9.946114e-01,   9.946113e-01,  9.946114e-01,          9.946114e-01,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  0.000000e+00, -3.608549e+02,  1.000000e+00,      2.000000e-02,      2.000000e-02,0,1,0,                  1,            15,                  1,            10,     0
          67,  1.000000e+00,  3.000000e+00,   1.525477e+01,     0.000000e+00,                     5.543657e-01,   9.946113e-01,  9.946114e-01,          9.946114e-01,                     9.946114e-01,   9.946113e-01,  9.946114e-01,          9.946114e-01,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  0.000000e+00, -3.608549e+02,  1.100000e+00,      2.000000e-02,      2.000000e-02,0,1,0,                  1,            15,                  1,            11,     0
          68,  1.000000e+00,  3.000000e+00,   1.090149e+00,     0.000000e+00,                     5.543657e-01,   9.946113e-01,  9.946114e-01,          9.946114e-01,                     9.946114e-01,   9.946113e-01,  9.946114e-01,          9.946114e-01,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  0.000000e+00, -3.608549e+02,  1.200000e+00,      2.000000e-02,      2.000000e-02,0,1,0,                  1,            15,                  1,             8,     0
          69,  1.000000e+00,  3.000000e+00,   1.531076e+00,     0.000000e+00,                     5.543657e-01,   9.946113e-01,  9.946114e-01,          9.946114e-01,                     9.946114e-01,   9.946113e-01,  9.946114e-01,          9.946114e-01,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  0.000000e+00, -3.608549e+02,  1.000000e+00,      2.000000e-02,      2.000000e-02,0,1,0,                  1,            15,                  1,             8,     0
          70,  1.000000e+00,  3.000000e+00,   5.127695e+02,     0.000000e+00,                     5.543657e-01,   9.946113e-01,  9.946114e-01,          9.946114e-01,                     9.946114e-01,   9.946113e-01,  9.946114e-01,          9.946114e-01,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  0.000000e+00, -3.608549e+02,  1.100000e+00,      2.000000e-02,      2.000000e-02,0,0,0,                  1,             1,                  1,            15,     0
